row_type,name,status_or_metric,value,unit,query_advance_ratio_j,query_rpm,observed_neighbor_rows,minimum_neighbor_rows_required,ct_coefficient,cp_coefficient,eta,max_ct_shape_overshoot,min_cp_coefficient,eta_residual,static_anchor_error,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_rule,runtime_leak_guard,required,true,boolean,,,,,,,,,,,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,execution results cannot mutate runtime or gameplay tuning
propeller_archive_ct_cp_j_lookup_execution_scenario,current_handoff_blocked_no_execution,HANDOFF_BLOCKED,false,boolean,0.406400,4712.25,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,source review and scattered fit handoff block execution before rows reach lookup runner
propeller_archive_ct_cp_j_lookup_execution_scenario,current_no_reviewed_rows,NO_REVIEWED_ROWS,false,boolean,0.406400,4712.25,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,false,false,feed-reviewed-rows-from-offline-import,current sim/lab state has no reviewed raw CT/CP/J rows bound to execution
propeller_archive_ct_cp_j_lookup_execution_scenario,synthetic_static_anchor_exact,ACCEPTED,true,boolean,0.000000,3141.50,1,1,0.120000,0.040000,0.000000,0.000000,0.040000,0.000000,0.000000,false,false,feed-acceptance-gate-with-execution-results,J-zero anchor is exactly recoverable when reviewed row exists
propeller_archive_ct_cp_j_lookup_execution_scenario,synthetic_mid_bilinear_pass,ACCEPTED,true,boolean,0.406400,4712.25,4,4,0.093250,0.050750,0.746735,0.000000,0.046000,0.000000,0.000000,false,false,feed-acceptance-gate-with-execution-results,bracketed J/RPM query passes neighbor shape CP eta guards
propeller_archive_ct_cp_j_lookup_execution_scenario,synthetic_missing_neighbor_blocked,NEIGHBOR_ROWS_MISSING,false,boolean,0.406400,4712.25,3,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,false,false,feed-all-required-bracketing-neighbors,one bilinear corner is absent so acceptance cannot pass
propeller_archive_ct_cp_j_lookup_execution_scenario,synthetic_high_j_extrapolation_rejected,OUT_OF_DOMAIN,false,boolean,0.934720,6283.00,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,false,false,keep-extrapolation-disabled-until-reviewed,high-J probe remains rejected outside reviewed lookup domain
propeller_archive_ct_cp_j_lookup_execution_scenario,synthetic_cp_guard_failed,ACCEPTANCE_GUARD_FAILED,false,boolean,0.406400,4712.25,4,4,0.093250,0.00000005075,746734.975369,0.000000,0.00000004600,0.000000,0.000000,false,false,verify-cp-eta-static-guards-before-acceptance,positive but too-small CP fails acceptance guard
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,scenario_count,7,count,,,,,,,,,,,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,total execution scenarios
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,accepted_scenario_count,2,count,,,,,,,,,,,false,false,feed-acceptance-gate-with-execution-results,static anchor and mid-domain synthetic cases pass
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,blocked_scenario_count,5,count,,,,,,,,,,,false,false,resolve-blocked-execution-scenarios,handoff no rows extrapolation missing-neighbor and CP guard cases block
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,handoff_blocked_scenario_count,1,count,,,,,,,,,,,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,current execution is blocked before row consumption
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,no_reviewed_rows_scenario_count,1,count,,,,,,,,,,,false,false,feed-reviewed-rows-from-offline-import,current execution is blocked without reviewed rows
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,out_of_domain_scenario_count,1,count,,,,,,,,,,,false,false,keep-extrapolation-disabled-until-reviewed,high-J probe rejected
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,missing_neighbor_scenario_count,1,count,,,,,,,,,,,false,false,feed-all-required-bracketing-neighbors,bilinear query requires four neighbors
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,acceptance_guard_failed_scenario_count,1,count,,,,,,,,,,,false,false,verify-cp-eta-static-guards-before-acceptance,CP threshold catches bad reviewed row set
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,max_observed_neighbor_rows,4,count,,,,,,,,,,,false,false,feed-acceptance-gate-with-execution-results,max bilinear neighbor count
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,max_ct_shape_overshoot,0.000000,coefficient,,,,,,,,,,,false,false,verify-ct-shape-guard-before-acceptance,synthetic bilinear interpolation stays inside neighbor extrema
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,min_accepted_cp_coefficient,0.040000,coefficient,,,,,,,,,,,false,false,verify-cp-eta-static-guards-before-acceptance,minimum CP among accepted scenarios
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,runtime_coupling_allowed_count,0,count,,,,,,,,,,,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no execution row can mutate runtime physics
propeller_archive_ct_cp_j_lookup_execution_summary,all_scenarios,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no execution row can auto-apply playable tuning
propeller_archive_ct_cp_j_lookup_execution_method,execution_contract,method,shape-preserving-bilinear-j-rpm-lookup-after-handoff,string,,,,,,,,,,,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,caller-supplied reviewed rows only after handoff raw archive import and runtime coupling remain closed
