row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,window_rank,flight_id,archive,target_offset_s,profile,offset_from_vmax_s,elapsed_time_s,speed_m_s,horizontal_speed_m_s,roll_rad,pitch_rad,yaw_rad,body_velocity_x_m_s,body_velocity_y_m_s,body_velocity_z_m_s,body_z_forward_projection_signed,body_z_forward_projection_abs,body_z_angle_to_velocity_deg,body_z_tilt_from_world_z_abs_deg,thrust_mean_command,thrust_sum_command,channels_thrust_us,vbat_v,mean_thrust_forward_command_proxy,mean_thrust_forward_proxy_over_current_drag_over_max,mean_thrust_command_over_required_total_over_max,total_command_proxy,current_drag_force_n,current_drag_over_max_thrust,current_required_total_thrust_over_max,current_required_tilt_deg_for_drag_balance,is_vmax_sample
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_speed_m_s,21.8533357096,m/s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Fastest speed inside the selected window.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_body_z_projection_abs,0.198471854057,projection,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Absolute projection of body Z axis onto velocity direction at vmax.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_body_z_angle_to_velocity_deg,78.5523885709,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and velocity direction at vmax, using absolute thrust-axis sign.",1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_body_z_tilt_from_world_z_abs_deg,57.6950728738,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and world Z at vmax, using absolute sign.",1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_thrust_mean_command,0.300884086922,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean of RATM thrust[0..3] at vmax.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_mean_thrust_forward_command_proxy,0.0597170225878,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean thrust command times absolute body-Z/velocity projection at vmax.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_current_drag_over_max_thrust,1.61400391479,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Current racingQuad drag force divided by current max thrust at vmax speed.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_current_required_total_thrust_over_max,1.62631938105,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Current drag-balance total thrust requirement divided by current max thrust.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_current_required_tilt_deg_for_drag_balance,82.9443897313,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Tilt angle needed for current drag balance at the logged vmax speed.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,vmax_proxy_over_current_drag_demand,0.0369993046738,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Command-projection proxy divided by current drag/max demand; command semantics are not a force calibration.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,high_speed_sample_count,137,rows,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Samples in this window at or above the high-speed threshold.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,high_speed_duration_s,0.274,s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,High-speed sample count divided by 500 Hz.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,high_speed_projection_abs_p50,0.205740669685,projection,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median absolute body-Z/velocity projection above threshold.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,high_speed_angle_to_velocity_p50_deg,78.1271394233,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median body-Z/velocity angle above threshold.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,high_speed_thrust_mean_p50,0.325853806702,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median thrust mean above threshold.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,high_speed_forward_command_proxy_p50,0.0642614799886,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median mean-thrust-forward-projection proxy above threshold.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_1_flight-04a-ellipse,high_speed_proxy_over_current_drag_p50,0.0406611636926,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median command-projection proxy divided by current drag/max demand.,1,flight-04a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_speed_m_s,21.8123413644,m/s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Fastest speed inside the selected window.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_body_z_projection_abs,0.218699521822,projection,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Absolute projection of body Z axis onto velocity direction at vmax.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_body_z_angle_to_velocity_deg,77.367338861,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and velocity direction at vmax, using absolute thrust-axis sign.",2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_body_z_tilt_from_world_z_abs_deg,58.8444627019,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and world Z at vmax, using absolute sign.",2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_thrust_mean_command,0.290183295877,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean of RATM thrust[0..3] at vmax.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_mean_thrust_forward_command_proxy,0.063462948049,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean thrust command times absolute body-Z/velocity projection at vmax.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_current_drag_over_max_thrust,1.60795422283,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Current racingQuad drag force divided by current max thrust at vmax speed.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_current_required_total_thrust_over_max,1.62031567139,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Current drag-balance total thrust requirement divided by current max thrust.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_current_required_tilt_deg_for_drag_balance,82.9181130786,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Tilt angle needed for current drag balance at the logged vmax speed.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,vmax_proxy_over_current_drag_demand,0.0394681310873,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Command-projection proxy divided by current drag/max demand; command semantics are not a force calibration.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,high_speed_sample_count,137,rows,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Samples in this window at or above the high-speed threshold.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,high_speed_duration_s,0.274,s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,High-speed sample count divided by 500 Hz.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,high_speed_projection_abs_p50,0.218025520575,projection,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median absolute body-Z/velocity projection above threshold.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,high_speed_angle_to_velocity_p50_deg,77.4069112608,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median body-Z/velocity angle above threshold.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,high_speed_thrust_mean_p50,0.321902935284,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median thrust mean above threshold.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,high_speed_forward_command_proxy_p50,0.066552616536,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median mean-thrust-forward-projection proxy above threshold.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_2_flight-06a-ellipse,high_speed_proxy_over_current_drag_p50,0.0430366404654,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median command-projection proxy divided by current drag/max demand.,2,flight-06a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_speed_m_s,21.8083773125,m/s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Fastest speed inside the selected window.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_body_z_projection_abs,0.165939884248,projection,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Absolute projection of body Z axis onto velocity direction at vmax.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_body_z_angle_to_velocity_deg,80.4481614016,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and velocity direction at vmax, using absolute thrust-axis sign.",3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_body_z_tilt_from_world_z_abs_deg,52.8303789909,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and world Z at vmax, using absolute sign.",3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_thrust_mean_command,0.289339313444,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean of RATM thrust[0..3] at vmax.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_mean_thrust_forward_command_proxy,0.0480129321813,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean thrust command times absolute body-Z/velocity projection at vmax.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_current_drag_over_max_thrust,1.60736983488,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Current racingQuad drag force divided by current max thrust at vmax speed.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_current_required_total_thrust_over_max,1.61973574335,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Current drag-balance total thrust requirement divided by current max thrust.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_current_required_tilt_deg_for_drag_balance,82.9155644903,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Tilt angle needed for current drag balance at the logged vmax speed.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,vmax_proxy_over_current_drag_demand,0.0298704947297,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Command-projection proxy divided by current drag/max demand; command semantics are not a force calibration.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,high_speed_sample_count,138,rows,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Samples in this window at or above the high-speed threshold.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,high_speed_duration_s,0.276,s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,High-speed sample count divided by 500 Hz.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,high_speed_projection_abs_p50,0.205885320718,projection,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median absolute body-Z/velocity projection above threshold.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,high_speed_angle_to_velocity_p50_deg,78.1186598678,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median body-Z/velocity angle above threshold.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,high_speed_thrust_mean_p50,0.323028752348,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median thrust mean above threshold.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,high_speed_forward_command_proxy_p50,0.06394978249,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median mean-thrust-forward-projection proxy above threshold.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_3_flight-03a-ellipse,high_speed_proxy_over_current_drag_p50,0.0406245447001,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Median command-projection proxy divided by current drag/max demand.,3,flight-03a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_4_flight-02a-ellipse,vmax_speed_m_s,21.7967050687,m/s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Fastest speed inside the selected window.,4,flight-02a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_4_flight-02a-ellipse,vmax_body_z_projection_abs,0.0599838920078,projection,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Absolute projection of body Z axis onto velocity direction at vmax.,4,flight-02a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_4_flight-02a-ellipse,vmax_body_z_angle_to_velocity_deg,86.5611118178,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and velocity direction at vmax, using absolute thrust-axis sign.",4,flight-02a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_4_flight-02a-ellipse,vmax_body_z_tilt_from_world_z_abs_deg,43.6461211971,deg,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,"Angle between body Z axis and world Z at vmax, using absolute sign.",4,flight-02a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_4_flight-02a-ellipse,vmax_thrust_mean_command,0.287591370036,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean of RATM thrust[0..3] at vmax.,4,flight-02a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_4_flight-02a-ellipse,vmax_mean_thrust_forward_command_proxy,0.0172508496826,normalized command,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Mean thrust command times absolute body-Z/velocity projection at vmax.,4,flight-02a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratm_thrust_vector_packet_window_summary,window_rank_4_flight-02a-ellipse,vmax_current_drag_over_max_thrust,1.60564970765,ratio,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,window_summary,Current racingQuad drag force divided by current max thrust at vmax speed.,4,flight-02a-ellipse,autonomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
